,"Last updated: Sep 5th, 2025 by Nila",,GENERAL INFORMATION,,,,,,,,,DEFENSIVE STATS - SUMMARY,,,,,,,,DEFENSIVE STATS - BREAKDOWN & DETAIL,,,,,,,,,DEFENSIVE STATS - RAW NUMBER,,,,,OFFENSIVE STATS - SUMMARY,,,,,,,,,,,OFFENSIVE STATS - BREAKDOWN & DETAIL,,,,,,,,,OFFENSIVE STATS - RAW NUMBER,,,,,MISCELLANEOUS,
ID,Level,"Name
(discord.gg/9j2WnTAnMu)",Base EXP,Job EXP,Zeny,Element,Race,Size,Card Effects,Card Slot,,Max HP,Total Final P.DEF,Total Final M.DEF,Final P.DMG Reduction,Final M.DMG Reduction,Total Final Anti-Crit,Total Final Flee,,P.DEF (in %),Final P.DEF,M.DEF (in %),Final M.DEF,Anti-Crit (in %),Final Anti-Crit,Flee (in %),Final Flee,,P.DEF,M.DEF,Anti-Crit,Flee,,P.ATK,M.ATK,P.DMG Bonus,M.DMG Bonus,Total Final P.PEN,Total Final M.PEN,Final P.DMG Bonus,Final M.DMG Bonus,Total Final Crit,Total Final Hit,,P.PEN (in %),Final P.PEN,M.PEN (in %),Final M.PEN,Crit (in %),Final Crit,Hit (in %),Final Hit,,P.PEN,M.PEN,Crit,Hit,,Spawn Location,Type
,120,Average MVP Lv.120,,,,Shadow,Demon,Large,,,,,185.16%,,140.46%,,,,,44.701%,140.463%,,,,,,,,"1,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Average MINI Lv.120,,,,Water,Demon,Medium,,,,,211.02%,,169.23%,,,,,41.537%,169.483%,,,,,,,,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Average MVP MINI Lv.120,,,,Shadow,Demon,Large,,,,,198.09%,,154.85%,,,,,43.119%,154.973%,,,,,,,,"1,125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Average MVP Lv.130,,,,Shadow,Demon,Large,,,,,182.27%,235.97%,148.10%,183.25%,,,,34.171%,148.101%,,,,,,,,683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Average MINI Lv.130,,,,Water,Demon,Medium,,,,,206.45%,243.92%,165.52%,197.01%,,,,36.764%,169.685%,,,,,,,,783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Average MVP MINI Lv.130,,,,Shadow,Demon,Large,,,,,194.36%,239.95%,156.81%,190.13%,,,,35.467%,158.893%,,,,,,,,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Average MVP Lv.140,,,,Shadow,Demon,Large,,,,,155.32%,,191.35%,,,,,,146.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Average MINI Lv.140,,,,Water,Demon,Medium,,,,,161.41%,,233.48%,,,,,,152.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Average MVP MINI Lv.140,,,,Shadow,Demon,Large,,,,,158.37%,,212.41%,,,,,,149.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Average MVP Lv.150,,,,Shadow,Demon,Large,,,,,191.03%,,283.92%,,,,,,180.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Average MINI Lv.150,,,,Water,Demon,Medium,,,,,198.53%,,324.23%,,,,,,184.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Average MVP MINI Lv.150,,,,Shadow,Demon,Large,,,,,194.78%,,304.08%,,,,,,182.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Average Small MVP Lv.140,,,,Wind,Insect,Small,,,,,130.18%,,272.80%,,,,,,130.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Average Medium MVP Lv.140,,,,Shadow,Demon,Medium,,,,,199.62%,,195.88%,,,,,,167.64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Average Large MVP Lv.140,,,,Shadow,Demi-Human,Large,,,,,143.05%,,184.84%,,,,,,128.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Average Small MINI Lv.140,,,,Wind,Insect,Small,,,,,161.12%,,225.97%,,,,,,127.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Average Medium MINI Lv.140,,,,Holy,Demon,Medium,,,,,148.23%,,212.13%,,,,,,135.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Average Large MINI Lv.140,,,,Water,Fish,Large,,,,,178.61%,,267.37%,,,,,,165.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Average Small MVP Lv.150,,,,Wind,Insect,Small,,,,,161.98%,,361.00%,,,,,,161.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Average Medium MVP Lv.150,,,,Shadow,Demon,Medium,,,,,240.07%,,273.72%,,,,,,202.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Average Large MVP Lv.150,,,,Shadow,Demi-Human,Large,,,,,177.51%,,282.29%,,,,,,161.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Average Small MINI Lv.150,,,,Wind,Insect,Small,,,,,198.01%,,312.15%,,,,,,158.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Average Medium MINI Lv.150,,,,Holy,Demon,Medium,,,,,182.88%,,304.72%,,,,,,169.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Average Large MINI Lv.150,,,,Water,Fish,Large,,,,,219.08%,,359.67%,,,,,,205.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,120,Phreeoni Lv.120,,,,Neutral,Brute,Large,,,,,119.96%,,29.07%,,,,,90.895%,29.069%,,,,,,,,"4,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Mistress Lv.120,,,,Wind,Insect,Small,,,,,251.94%,,204.10%,,,,,47.840%,204.100%,,,,,,,,"1,267",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Eddga Lv.120,,,,Fire,Brute,Large,,,,,219.37%,,175.90%,,,,,43.467%,175.900%,,,,,,,,"1,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Kraken Lv.120,,,,Water,Fish,Large,,,,,251.94%,,204.10%,,,,,47.840%,204.100%,,,,,,,,"1,267",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Maya Lv.120,,,,Earth,Insect,Large,,,,,135.69%,,105.60%,,,,,30.086%,105.600%,,,,,,,,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Orc Hero Lv.120,,,,Earth,Demi-Human,Large,,,,,186.40%,,147.80%,,,,,38.600%,147.800%,,,,,,,,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Pharaoh Lv.120,,,,Shadow,Demi-Human,Large,,,,,119.96%,,29.07%,,,,,90.895%,29.069%,,,,,,,,"4,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Orc Lord Lv.120,,,,Earth,Demi-Human,Large,,,,,186.40%,,147.80%,,,,,38.600%,147.800%,,,,,,,,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Doppelganger Lv.120,,,,Shadow,Demon,Medium,,,,,219.37%,,175.90%,,,,,43.467%,175.900%,,,,,,,,"1,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Amon Ra Lv.120,,,,Earth,Demi-Human,Large,,,,,219.37%,,175.90%,,,,,43.467%,175.900%,,,,,,,,"1,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Overseer of Time Lv.120,,,,Neutral,Demon,Large,,,,,135.69%,,105.60%,,,,,30.086%,105.600%,,,,,,,,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Morroc Lv.120,,,,Shadow,Demon,Large,,,,,186.40%,,147.80%,,,,,38.600%,147.800%,,,,,,,,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Lost Dragon Lv.120,,,,Shadow,Dragon,Large,,,,,219.37%,,175.90%,,,,,43.467%,175.900%,,,,,,,,"1,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Tao Gunka Lv.120,,,,Neutral,Demon,Large,,,,,219.37%,,175.90%,,,,,43.467%,175.900%,,,,,,,,"1,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Fallen Bishop Lv.120,,,,Shadow,Demon,Medium,,,,,135.69%,,105.60%,,,,,30.086%,105.600%,,,,,,,,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Lord of the Dead Lv.120,,,,Shadow,Demon,Large,,,,,186.40%,,147.80%,,,,,38.600%,147.800%,,,,,,,,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Arc Angeling Lv.120,,,,Holy,Angel,Medium,,,,,118.07%,,91.50%,,,,,26.567%,91.500%,,,,,,,,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Gioia Lv.120,,,,Wind,Formless,Large,,,,,221.60%,,183.00%,,,,,38.600%,183.000%,,,,,,,,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,Neutral,Formless,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,Shadow,Dragon,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,Ghost,Formless,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,Shadow,Angel,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,120,Dragon Fly Lv.120,,,,Wind,Insect,Small,,,,,219.37%,,175.90%,,,,,43.467%,175.900%,,,,,,,,"1,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Eclipse Lv.120,,,,Neutral,Brute,Small,,,,,251.94%,,204.10%,,,,,47.840%,204.100%,,,,,,,,"1,267",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Mastering Lv.120,,,,Water,Plant,Medium,,,,,251.94%,,204.10%,,,,,47.840%,204.100%,,,,,,,,"1,267",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Ghostring Lv.120,,,,Ghost,Demon,Medium,,,,,219.37%,,175.90%,,,,,43.467%,175.900%,,,,,,,,"1,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Toad Lv.120,,,,Water,Fish,Small,,,,,135.69%,135.69%,105.60%,128.42%,,,,30.086%,105.600%,,,,,,,,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,King Dramoh Lv.120,,,,Water,Fish,Large,,,,,186.40%,,147.80%,,,,,38.600%,147.800%,,,,,,,,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Angeling Lv.120,,,,Holy,Angel,Medium,,,,,135.69%,,105.60%,,,,,30.086%,105.600%,,,,,,,,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Deviling Lv.120,,,,Shadow,Demon,Medium,,,,,186.40%,,147.80%,,,,,38.600%,147.800%,,,,,,,,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Vagabond Wolf Lv.120,,,,Earth,Brute,Medium,,,,,219.37%,,175.90%,,,,,43.467%,175.900%,,,,,,,,"1,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Dark Priest Lv.120,,,,Undead,Demon,Medium,,,,,251.94%,,204.10%,,,,,47.840%,204.100%,,,,,,,,"1,267",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Chimera Lv.120,,,,Fire,Brute,Large,,,,,219.37%,,175.90%,,,,,43.467%,175.900%,,,,,,,,"1,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Mysteltainn Lv.120,,,,Shadow,Formless,Large,,,,,219.37%,,175.90%,,,,,43.467%,175.900%,,,,,,,,"1,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Ogretooth Lv.120,,,,Shadow,Formless,Large,,,,,251.94%,,195.71%,,,,,47.840%,204.100%,,,,,,,,"1,267",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Necromancer Lv.120,,,,Undead,Undead,Medium,,,,,186.40%,,151.72%,,,,,38.600%,147.800%,,,,,,,,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Naght Sieger Lv.120,,,,Ghost,Demon,Large,,,,,251.94%,,204.10%,,,,,47.840%,204.100%,,,,,,,,"1,267",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Coelacanth Lv.120,,,,Water,Fish,Large,,,,,219.37%,,175.90%,,,,,43.467%,175.900%,,,,,,,,"1,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Observation Lv.120,,,,Neutral,Angel,Medium,,,,,221.60%,,183.00%,,,,,38.600%,183.000%,,,,,,,,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,120,Skeggiold Lv.120,,,,Holy,Angel,Small,,,,,170.29%,,137.20%,,,,,33.086%,137.200%,,,,,,,,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,Poison,Insect,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,Earth,Insect,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,Holy,Angel,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,Water,Dragon,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,130,Phreeoni Lv.130,,,,Neutral,Brute,Large,,,,,203.33%,261.75%,166.60%,170.81%,,,,36.725%,166.603%,,,,,,,,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Mistress Lv.130,,,,Wind,Insect,Small,,,,,264.88%,222.18%,222.10%,184.92%,,,,42.776%,222.103%,,,,,,,,"1,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Eddga Lv.130,,,,Fire,Brute,Large,,,,,203.33%,261.75%,166.60%,170.81%,,,,36.725%,166.603%,,,,,,,,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Kraken Lv.130,,,,Water,Fish,Large,,,,,264.88%,222.18%,222.10%,193.75%,,,,42.776%,222.103%,,,,,,,,"1,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Maya Lv.130,,,,Earth,Insect,Large,,,,,140.70%,161.50%,111.10%,136.48%,,,,29.600%,111.099%,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Orc Hero Lv.130,,,,Earth,Demi-Human,Large,,,,,140.70%,300.76%,111.10%,226.27%,,,,29.600%,111.099%,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Pharaoh Lv.130,,,,Shadow,Demi-Human,Large,,,,,140.70%,161.50%,111.10%,74.07%,,,,29.600%,111.099%,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Orc Lord Lv.130,,,,Earth,Demi-Human,Large,,,,,140.70%,300.76%,111.10%,226.27%,,,,29.600%,111.099%,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Doppelganger Lv.130,,,,Shadow,Demon,Medium,,,,,203.33%,261.73%,166.60%,213.60%,,,,36.725%,166.603%,,,,,,,,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Amon Ra Lv.130,,,,Earth,Demi-Human,Large,,,,,203.33%,261.74%,166.60%,187.93%,,,,36.725%,166.603%,,,,,,,,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Overseer of Time Lv.130,,,,Neutral,Demon,Large,,,,,140.70%,161.50%,111.10%,136.48%,,,,29.600%,111.099%,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Morroc Lv.130,,,,Shadow,Demon,Large,,,,,140.70%,300.76%,111.10%,247.80%,,,,29.600%,111.099%,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Lost Dragon Lv.130,,,,Shadow,Dragon,Large,,,,,203.33%,261.73%,166.60%,213.60%,,,,36.725%,166.603%,,,,,,,,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Tao Gunka Lv.130,,,,Neutral,Demon,Large,,,,,203.33%,261.73%,166.60%,218.35%,,,,36.725%,166.603%,,,,,,,,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Fallen Bishop Lv.130,,,,Shadow,Demon,Medium,,,,,140.70%,161.53%,111.10%,128.19%,,,,29.600%,111.099%,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Lord of the Dead Lv.130,,,,Shadow,Demon,Large,,,,,140.70%,300.76%,111.10%,247.80%,,,,29.600%,111.099%,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Arc Angeling Lv.130,,,,Holy,Angel,Medium,,,,,140.70%,161.50%,111.10%,136.40%,,,,29.600%,111.099%,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Gioia Lv.130,,,,Wind,Formless,Large,,,,,264.88%,222.18%,222.10%,184.92%,,,,42.776%,222.103%,,,,,,,,"1,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,Neutral,Formless,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,Shadow,Dragon,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,Ghost,Formless,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,Shadow,Angel,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,130,Dragon Fly Lv.130,,,,Wind,Insect,Small,,,,,203.33%,261.73%,166.60%,218.35%,,,,36.725%,166.603%,,,,,,,,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Eclipse Lv.130,,,,Neutral,Brute,Small,,,,,264.88%,222.17%,222.10%,129.72%,,,,42.776%,222.103%,,,,,,,,"1,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Mastering Lv.130,,,,Water,Plant,Medium,,,,,264.88%,222.17%,222.10%,191.55%,,,,42.777%,222.102%,,,,,,,,"1,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,130,Ghostring Lv.130,,,,Ghost,Demon,Medium,,,,,203.33%,261.74%,166.60%,225.96%,,,,36.725%,166.603%,,,,,,,,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
